n,m,edge_rate,vc,q,time
70,132,0.2,10,9,70998.4
90,177,0.2,10,10,105637
110,220,0.2,10,10,128439
130,263,0.2,10,10,169800
150,302,0.2,10,10,236017
70,258,0.4,10,6,22736.8
90,338,0.4,10,7,48892.6
110,419,0.4,10,8,145077
130,499,0.4,10,8,239303
150,579,0.4,10,8,310588
70,387,0.6,10,5,4526.62
90,507,0.6,10,6,20435.6
110,627,0.6,10,6,20082.3
130,747,0.6,10,6,26406.5
150,867,0.6,10,6,47593.8
70,516,0.8,10,5,468.961
90,676,0.8,10,5,817.961
110,836,0.8,10,5,892.404
130,996,0.8,10,5,3904.35
150,1156,0.8,10,5,1040.27
70,142,0.2,11,9,432884
90,191,0.2,11,10,630794
110,236,0.2,11,11,711964
130,281,0.2,11,11,1.13911e+06
150,329,0.2,11,,
70,281,0.4,11,7,226720
90,369,0.4,11,7,292835
110,457,0.4,11,7,607513
130,546,0.4,11,8,1.06559e+06
150,633,0.4,11,8,1.11968e+06
70,422,0.6,11,5,12552
90,554,0.6,11,6,27996.7
110,686,0.6,11,6,59694.3
130,818,0.6,11,6,59874.1
150,950,0.6,11,6,85497.5
70,563,0.8,11,5,300.208
90,739,0.8,11,5,311.034
110,915,0.8,11,5,773.045
130,1091,0.8,11,5,2226.79
150,1267,0.8,11,5,2593.32
70,153,0.2,12,,
90,205,0.2,12,,
110,254,0.2,12,,
130,304,0.2,12,,
150,350,0.2,12,,
70,304,0.4,12,7,315101
90,401,0.4,12,6,476132
110,496,0.4,12,7,597513
130,592,0.4,12,,
150,688,0.4,12,,
70,456,0.6,12,6,33462
90,600,0.6,12,6,38601.7
110,744,0.6,12,6,50908.7
130,888,0.6,12,6,398110
150,1032,0.6,12,6,103886
70,608,0.8,12,6,13150.9
90,800,0.8,12,5,737.367
110,992,0.8,12,5,445.444
130,1184,0.8,12,6,51261.4
150,1376,0.8,12,6,40907.8
70,490,0.6,13,6,36127.1
90,646,0.6,13,6,80521.6
110,802,0.6,13,6,238007
130,958,0.6,13,6,216555
150,1114,0.6,13,6,1.04706e+06
70,654,0.8,13,6,13086.9
90,862,0.8,13,6,15482.7
110,1070,0.8,13,6,34868.1
130,1278,0.8,13,6,67953.3
150,1486,0.8,13,6,39183.1
70,524,0.6,14,6,83648.6
90,692,0.6,14,6,62219
110,860,0.6,14,6,338503
130,1028,0.6,14,,
150,1196,0.6,14,,
70,699,0.8,14,6,13552.9
90,923,0.8,14,6,12171.5
110,1147,0.8,14,6,10587.7
130,1371,0.8,14,6,18853.5
150,1595,0.8,14,6,118204
70,558,0.6,15,6,55945.5
90,738,0.6,15,6,84199
110,918,0.6,15,6,304321
130,1098,0.6,15,,
150,1278,0.6,15,,
70,744,0.8,15,6,19873
90,984,0.8,15,6,45272.9
110,1224,0.8,15,6,301792
130,1464,0.8,15,,
150,1704,0.8,15,6,830933
