n,m,edge_rate,vc,q,time
500,1496,0.6,5,5,1673.67
700,2095,0.6,5,5,4607.07
900,2702,0.6,5,5,8695.21
1100,3307,0.6,5,5,17684.1
1300,3909,0.6,5,5,28441.3
1500,4511,0.6,5,5,39091.8
1700,5102,0.6,5,5,55016.5
1900,5706,0.6,5,5,75533
500,1988,0.8,5,4,1195.9
700,2788,0.8,5,5,4160.67
900,3589,0.8,5,5,8333.61
1100,4388,0.8,5,5,16078
1300,5188,0.8,5,5,27072.5
1500,5989,0.8,5,5,40778.9
1700,6788,0.8,5,5,59915.3
1900,7588,0.8,5,5,78687.5
500,1791,0.6,6,6,3826.91
700,2508,0.6,6,6,7608.76
900,3232,0.6,6,6,15350.8
1100,3951,0.6,6,6,23987
1300,4671,0.6,6,6,39095.8
1500,5393,0.6,6,6,57044.8
1700,6112,0.6,6,6,86066.2
1900,6832,0.6,6,6,109769
500,2383,0.8,6,4,2380.03
700,3343,0.8,6,5,7527.34
900,4303,0.8,6,5,14932.1
1100,5263,0.8,6,5,26058.6
1300,6223,0.8,6,5,40085.2
1500,7183,0.8,6,5,47527.7
1700,8143,0.8,6,6,78349
1900,9103,0.8,6,5,80625.7
500,2084,0.6,7,6,12171.6
700,2923,0.6,7,7,24148.2
900,3764,0.6,7,7,40086
1100,4604,0.6,7,7,50831.9
1300,5444,0.6,7,7,71589.9
1500,6284,0.6,7,7,96887.2
1700,7124,0.6,7,7,125002
1900,7965,0.6,7,7,155945
500,2776,0.8,7,5,3542.82
700,3896,0.8,7,5,6944.13
900,5016,0.8,7,5,18704.4
1100,6136,0.8,7,5,37851.6
1300,7256,0.8,7,5,33669.8
1500,8376,0.8,7,5,64723.1
1700,9496,0.8,7,6,101333
1900,10616,0.8,7,6,128290
500,2377,0.6,8,7,68606.3
700,3338,0.6,8,7,91710.6
900,4298,0.6,8,8,153632
1100,5257,0.6,8,7,185255
1300,6217,0.6,8,7,234816
1500,7179,0.6,8,8,299520
1700,8138,0.6,8,7,360286
1900,9099,0.6,8,8,429654
500,3170,0.8,8,5,6505.4
700,4450,0.8,8,5,29162.3
900,5730,0.8,8,6,75855.3
1100,7010,0.8,8,6,100814
1300,8290,0.8,8,5,124147
1500,9570,0.8,8,6,159083
1700,10850,0.8,8,6,214103
1900,12130,0.8,8,6,246013
