n,m,edge_rate,vc,q,time
10,9,0.1,1,1,0.725
20,19,0.1,1,1,0.712
30,29,0.1,1,1,0.884
40,39,0.1,1,1,1.069
50,49,0.1,1,1,1.54
60,59,0.1,1,1,2.102
70,69,0.1,1,1,2.371
80,79,0.1,1,1,3.152
90,89,0.1,1,1,4.648
100,99,0.1,1,1,5.483
10,8,0.1,2,2,0.697
20,18,0.1,2,2,0.739
30,28,0.1,2,2,0.891
40,39,0.1,2,2,1.247
50,48,0.1,2,2,1.168
60,58,0.1,2,2,1.382
70,68,0.1,2,2,1.761
80,79,0.1,2,2,3.781
90,88,0.1,2,2,2.058
100,100,0.1,2,2,5.802
10,7,0.1,3,3,0.705
20,17,0.1,3,3,0.783
30,28,0.1,3,3,0.951
40,37,0.1,3,3,1.092
50,48,0.1,3,3,1.74
60,59,0.1,3,3,1.394
70,72,0.1,3,3,5.297
80,77,0.1,3,3,1.555
90,92,0.1,3,3,8.337
100,101,0.1,3,3,7.391
10,7,0.1,4,3,0.683
20,16,0.1,4,4,0.925
30,28,0.1,4,4,1.136
40,37,0.1,4,4,0.988
50,48,0.1,4,4,1.216
60,57,0.1,4,4,1.334
70,70,0.1,4,4,8.979
80,80,0.1,4,4,10.492
90,94,0.1,4,4,12.933
100,98,0.1,4,4,3.818
10,7,0.1,5,3,0.744
20,17,0.1,5,5,1.058
30,28,0.1,5,5,2.69
40,38,0.1,5,5,4.243
50,49,0.1,5,5,5.253
60,61,0.1,5,5,26.659
70,70,0.1,5,5,28.654
80,86,0.1,5,5,33.891
90,94,0.1,5,5,41.023
100,104,0.1,5,5,47.529
10,6,0.1,6,4,0.909
20,17,0.1,6,6,2.181
30,27,0.1,6,6,1.279
40,38,0.1,6,6,2.846
50,50,0.1,6,6,15.417
60,65,0.1,6,6,90.989
70,74,0.1,6,6,113.317
80,82,0.1,6,6,23.587
90,97,0.1,6,6,150.79
100,107,0.1,6,6,169.926
10,9,0.1,7,4,3
20,19,0.1,7,6,11.061
30,30,0.1,7,7,28.47
40,39,0.1,7,6,216.004
50,52,0.1,7,7,316.906
60,65,0.1,7,7,415.758
70,77,0.1,7,7,90.886
80,86,0.1,7,7,559.489
90,98,0.1,7,7,660.582
100,113,0.1,7,7,785.312
10,7,0.1,8,5,0.613
20,17,0.1,8,7,11.299
30,25,0.1,8,8,1.071
40,41,0.1,8,8,180.317
50,51,0.1,8,8,1506.66
60,68,0.1,8,8,2078.96
70,75,0.1,8,8,2545.72
80,94,0.1,8,8,2946.3
90,105,0.1,8,8,3404.97
100,112,0.1,8,8,3904.09
10,8,0.1,9,4,0.916
20,18,0.1,9,8,52.266
30,29,0.1,9,8,111.133
40,44,0.1,9,8,5546.34
50,56,0.1,9,9,8425.3
60,70,0.1,9,9,11405.9
70,83,0.1,9,9,14016.4
80,96,0.1,9,9,14980
90,107,0.1,9,9,18531.1
100,122,0.1,9,9,20037.7
10,9,0.2,1,1,0.955
20,19,0.2,1,1,0.803
30,29,0.2,1,1,0.972
40,39,0.2,1,1,1.159
50,49,0.2,1,1,1.585
60,59,0.2,1,1,1.775
70,69,0.2,1,1,2.745
80,79,0.2,1,1,3.838
90,89,0.2,1,1,5.365
100,99,0.2,1,1,5.796
10,9,0.2,2,2,0.809
20,18,0.2,2,2,0.811
30,28,0.2,2,2,0.963
40,42,0.2,2,2,1.372
50,50,0.2,2,2,1.842
60,58,0.2,2,2,1.263
70,68,0.2,2,2,1.712
80,83,0.2,2,2,3.683
90,92,0.2,2,2,5.157
100,104,0.2,2,2,6.231
10,7,0.2,3,3,0.712
20,19,0.2,3,3,1.175
30,31,0.2,3,3,1.602
40,40,0.2,3,3,1.846
50,52,0.2,3,3,2.881
60,62,0.2,3,3,2.805
70,77,0.2,3,3,5.411
80,82,0.2,3,3,6.964
90,96,0.2,3,3,8.793
100,112,0.2,3,3,10.164
10,8,0.2,4,4,1.549
20,20,0.2,4,4,2.603
30,34,0.2,4,4,3.729
40,43,0.2,4,4,1.783
50,54,0.2,4,4,5.849
60,68,0.2,4,4,8.542
70,78,0.2,4,4,10.574
80,97,0.2,4,4,13.325
90,109,0.2,4,4,17.089
100,112,0.2,4,4,20.271
10,9,0.2,5,4,0.979
20,22,0.2,5,5,6.722
30,36,0.2,5,5,10.532
40,48,0.2,5,5,18.181
50,61,0.2,5,5,25.201
60,73,0.2,5,5,27.872
70,91,0.2,5,5,38.627
80,100,0.2,5,5,40.228
90,115,0.2,5,5,54.039
100,130,0.2,5,5,54.453
10,10,0.2,6,3,1.854
20,24,0.2,6,6,24.466
30,37,0.2,6,5,35.276
40,50,0.2,6,6,58.368
50,69,0.2,6,6,87.719
60,83,0.2,6,6,99.903
70,94,0.2,6,6,121.477
80,111,0.2,6,6,156.682
90,128,0.2,6,6,168.783
100,136,0.2,6,6,187.556
10,10,0.2,7,4,1.055
20,24,0.2,7,5,36.679
30,41,0.2,7,6,148.472
40,53,0.2,7,7,256.444
50,71,0.2,7,7,365.116
60,90,0.2,7,7,435.009
70,104,0.2,7,7,578.09
80,123,0.2,7,7,678.11
90,139,0.2,7,7,792.891
100,153,0.2,7,7,868.115
10,9,0.2,8,3,1.428
20,26,0.2,8,6,332.046
30,43,0.2,8,7,121.112
40,63,0.2,8,8,1202.02
50,77,0.2,8,7,1421.73
60,100,0.2,8,8,2077.44
70,112,0.2,8,8,2645.19
80,131,0.2,8,8,3262.96
90,152,0.2,8,8,3296.42
100,165,0.2,8,8,4169.77
10,9,0.2,9,4,4.412
20,27,0.2,9,6,980.4
30,46,0.2,9,7,3508.6
40,68,0.2,9,8,5762.67
50,86,0.2,9,9,8781.3
60,108,0.2,9,8,10437.8
70,121,0.2,9,9,13881.4
80,144,0.2,9,9,16359.8
90,162,0.2,9,9,18439.5
100,191,0.2,9,9,21832.2
10,9,0.3,1,1,1.097
20,19,0.3,1,1,1.415
30,29,0.3,1,1,0.94
40,39,0.3,1,1,1.352
50,49,0.3,1,1,1.473
60,59,0.3,1,1,2.031
70,69,0.3,1,1,2.915
80,79,0.3,1,1,3.381
90,89,0.3,1,1,4.415
100,99,0.3,1,1,6.011
10,9,0.3,2,2,0.789
20,18,0.3,2,2,0.74
30,31,0.3,2,2,1.059
40,44,0.3,2,2,1.347
50,52,0.3,2,2,1.846
60,59,0.3,2,2,2.472
70,72,0.3,2,2,3.269
80,87,0.3,2,2,3.678
90,94,0.3,2,2,4.912
100,107,0.3,2,2,5.894
10,8,0.3,3,3,0.769
20,23,0.3,3,3,1.059
30,36,0.3,3,3,1.566
40,44,0.3,3,3,1.737
50,58,0.3,3,3,2.9
60,72,0.3,3,3,3.859
70,86,0.3,3,3,5.22
80,92,0.3,3,3,6.555
90,109,0.3,3,3,8.484
100,118,0.3,3,3,9.823
10,10,0.3,4,4,1.214
20,25,0.3,4,4,2.452
30,40,0.3,4,4,4.244
40,52,0.3,4,4,5.461
50,67,0.3,4,4,7.332
60,84,0.3,4,4,9.955
70,95,0.3,4,4,11.333
80,112,0.3,4,4,13.35
90,124,0.3,4,4,16.702
100,135,0.3,4,4,19.838
10,11,0.3,5,3,0.743
20,26,0.3,5,4,5.683
30,46,0.3,5,5,10.575
40,62,0.3,5,5,17.649
50,76,0.3,5,5,23.742
60,91,0.3,5,5,27.186
70,113,0.3,5,5,34.378
80,128,0.3,5,5,39.407
90,146,0.3,5,5,51.94
100,159,0.3,5,5,59.71
10,12,0.3,6,3,1.119
20,33,0.3,6,6,24.371
30,49,0.3,6,5,33.504
40,70,0.3,6,6,68.712
50,91,0.3,6,6,96.926
60,111,0.3,6,6,112.958
70,125,0.3,6,6,135.927
80,143,0.3,6,6,168.401
90,169,0.3,6,6,213.902
100,183,0.3,6,6,227.419
10,13,0.3,7,3,0.834
20,34,0.3,7,6,73.762
30,57,0.3,7,6,149.772
40,76,0.3,7,6,193.182
50,98,0.3,7,7,400.292
60,120,0.3,7,6,464.423
70,139,0.3,7,7,618.449
80,164,0.3,7,7,754.817
90,184,0.3,7,7,900.816
100,210,0.3,7,7,974.572
10,12,0.3,8,4,3.575
20,36,0.3,8,6,280.955
30,61,0.3,8,6,343.719
40,84,0.3,8,6,920.444
50,110,0.3,8,6,1142.24
60,136,0.3,8,8,2518.6
70,158,0.3,8,8,2851.07
80,183,0.3,8,8,4130.47
90,207,0.3,8,8,4101.89
100,233,0.3,8,8,4754.3
10,12,0.3,9,3,0.979
20,40,0.3,9,5,394.939
30,67,0.3,9,6,2107.13
40,93,0.3,9,7,3426.18
50,123,0.3,9,7,8967.51
60,149,0.3,9,7,7507.21
70,175,0.3,9,7,14085.4
80,205,0.3,9,8,18578.2
90,230,0.3,9,7,17621.4
100,262,0.3,9,8,25353.5
10,9,0.4,1,1,0.784
20,19,0.4,1,1,0.781
30,29,0.4,1,1,0.895
40,39,0.4,1,1,1.355
50,49,0.4,1,1,1.441
60,59,0.4,1,1,1.864
70,69,0.4,1,1,2.759
80,79,0.4,1,1,4.187
90,89,0.4,1,1,4.604
100,99,0.4,1,1,5.734
10,10,0.4,2,2,0.71
20,20,0.4,2,2,0.882
30,32,0.4,2,2,1.207
40,45,0.4,2,2,1.504
50,56,0.4,2,2,2.069
60,66,0.4,2,2,2.224
70,79,0.4,2,2,3.121
80,91,0.4,2,2,4.098
90,101,0.4,2,2,4.754
100,116,0.4,2,2,5.872
10,11,0.4,3,3,1.387
20,25,0.4,3,3,1.23
30,41,0.4,3,3,1.987
40,51,0.4,3,3,3.5
50,65,0.4,3,3,3.506
60,80,0.4,3,3,4.65
70,98,0.4,3,3,6.136
80,106,0.4,3,3,7.437
90,127,0.4,3,3,9.782
100,134,0.4,3,3,9.913
10,12,0.4,4,4,1.276
20,31,0.4,4,4,2.533
30,45,0.4,4,4,3.776
40,62,0.4,4,4,5.338
50,81,0.4,4,4,7.583
60,99,0.4,4,4,10.778
70,115,0.4,4,4,12.32
80,137,0.4,4,4,14.722
90,152,0.4,4,4,19.766
100,169,0.4,4,4,21.904
10,15,0.4,5,3,1.257
20,34,0.4,5,4,5.94
30,57,0.4,5,5,13.285
40,79,0.4,5,5,21.422
50,97,0.4,5,5,25.05
60,116,0.4,5,5,37.865
70,143,0.4,5,5,40.637
80,163,0.4,5,5,49.312
90,184,0.4,5,5,62.745
100,198,0.4,5,5,67.78
10,15,0.4,6,3,1.137
20,41,0.4,6,5,15.953
30,64,0.4,6,5,28.601
40,89,0.4,6,5,72.701
50,114,0.4,6,6,109.852
60,140,0.4,6,6,126.827
70,163,0.4,6,5,128.401
80,188,0.4,6,6,220.378
90,210,0.4,6,6,227.18
100,237,0.4,6,6,254.839
10,16,0.4,7,3,1.887
20,44,0.4,7,5,30.261
30,73,0.4,7,5,64.852
40,100,0.4,7,5,259.595
50,129,0.4,7,6,445.951
60,157,0.4,7,6,791.965
70,185,0.4,7,6,982.693
80,214,0.4,7,6,1051.64
90,241,0.4,7,7,1148.26
100,271,0.4,7,6,996.584
10,17,0.4,8,3,1.033
20,49,0.4,8,5,44.856
30,82,0.4,8,5,98.348
40,113,0.4,8,5,529.531
50,146,0.4,8,6,1476.66
60,177,0.4,8,6,3222.67
70,209,0.4,8,6,3111.71
80,243,0.4,8,7,4363.96
90,274,0.4,8,6,4380.02
100,305,0.4,8,7,7450.34
