n,m,edge_rate,vc,q,time
2000,6010,0.6,5,5,83335.4
2250,6760,0.6,5,5,116731
2500,7516,0.6,5,5,159897
2750,8268,0.6,5,5,221807
3000,9016,0.6,5,5,317797
3250,9782,0.6,5,5,448805
3500,10530,0.6,5,5,451570
3750,11286,0.6,5,5,646984
4000,12023,0.6,5,5,723793
4250,12790,0.6,5,5,840437
4500,13536,0.6,5,5,937716
4750,14291,0.6,5,5,1.10509e+06
5000,15039,0.6,5,,
5250,15785,0.6,5,,
2000,7198,0.6,6,6,113497
2250,8090,0.6,6,6,151808
2500,8997,0.6,6,6,205114
2750,9895,0.6,6,6,263265
3000,10798,0.6,6,6,333055
3250,11699,0.6,6,6,433871
3500,12605,0.6,6,6,545114
3750,13507,0.6,6,6,655791
4000,14399,0.6,6,6,934041
4250,15300,0.6,6,6,1.07784e+06
4500,16206,0.6,6,,
